dcode,bcode,math4,read4,enroll,exppp,free,reduced,lunch,medinc,totchild,married,single,pctsgle,zipcode,lenroll,lexppp,lmedinc
63050,1875,86,68.800003,359,5206.8101,6.0999999,5,11.1,66968,3321,2837,484,14.573924,48072,5.8833222,8.557723,11.11197
63050,2974,65,55,298,5159.1401,5.4000001,6,11.4,66968,3321,2837,484,14.573924,48072,5.6970935,8.5485249,11.11197
63050,1549,66.699997,60.299999,370,4623.5498,6.1999998,1.9,8.0999994,66968,3321,2837,484,14.573924,48072,5.9135032,8.4389181,11.11197
63040,4264,93.900002,72.699997,233,5660.0801,5.5999999,6,11.6,68331,5960,5132,828,13.892618,48073,5.4510384,8.6411934,11.132119
63040,2381,97.699997,88.599998,283,6128.2798,5.6999998,1.4,7.0999999,68331,5960,5132,828,13.892618,48073,5.6454468,8.7206697,11.132119
63040,2781,86.800003,72.199997,281,5376.3701,4.5999999,.69999999,5.3000002,68331,5960,5132,828,13.892618,48073,5.6383548,8.5897684,11.132119
63040,2800,71.599998,57.5,454,5564.0698,6.5999999,2.2,8.8000002,68331,5960,5132,828,13.892618,48073,6.1180973,8.6240854,11.132119
63040,2950,100,67.900002,215,5960.48,10.7,3.7,14.4,68331,5960,5132,828,13.892618,48073,5.3706379,8.6929064,11.132119
63040,4057,78.300003,66.699997,349,5377.2202,8.3000002,1.7,10,68331,5960,5132,828,13.892618,48073,5.855072,8.5899267,11.132119
63060,2146,95,88.800003,539,7675.1802,27.1,7.0999999,34.200001,65871,4058,2947,1111,27.378019,48075,6.2897158,8.9457474,11.095453
63060,1948,58.200001,56.700001,363,6353.0801,24.5,7.1999998,31.700001,65871,4058,2947,1111,27.378019,48075,5.894403,8.7566948,11.095453
63060,5284,95.199997,88.699997,373,6184.3501,23.299999,6.4000001,29.700001,65871,4058,2947,1111,27.378019,48075,5.9215784,8.7297773,11.095453
63060,1311,87.099998,62,437,7752.3701,26.299999,6.4000001,32.700001,75224,6331,5004,1327,20.960354,48076,6.0799332,8.9557543,11.228226
63060,1423,91.199997,92.599998,391,7161.1499,16.9,10,26.9,75224,6331,5004,1327,20.960354,48076,5.9687076,8.8764257,11.228226
63060,5764,88.800003,79.699997,400,7209.1001,15.8,4.5,20.299999,75224,6331,5004,1327,20.960354,48076,5.9914646,8.8830996,11.228226
63060,4278,90.199997,90.199997,377,7819.5098,44,9.8000002,53.799999,75224,6331,5004,1327,20.960354,48076,5.9322453,8.9643774,11.228226
63150,6941,100,93.300003,440,5741.8101,3,1.6,4.5999999,71303,5088,4529,559,10.986635,48083,6.0867748,8.65553,11.174694
63010,2995,84.800003,57.599998,295,6619.54,.69999999,1,1.7,88754,3054,2832,222,7.269155,48084,5.6869755,8.797781,11.393623
63150,6940,100,93.099998,474,6213.4502,3.8,0,3.8,88754,3054,2832,222,7.269155,48084,6.1612072,8.7344713,11.393623
63150,2618,87.199997,76.099998,376,4916.7798,10.9,2.4000001,13.3,88754,3054,2832,222,7.269155,48084,5.9295893,8.5004091,11.393623
63150,6124,100,94.900002,492,5953.0098,.80000001,.2,1,88754,3054,2832,222,7.269155,48084,6.1984787,8.6916523,11.393623
63150,5537,100,87.300003,357,5279.5801,5.9000001,.80000001,6.6999998,88754,3054,2832,222,7.269155,48084,5.8777356,8.5716019,11.393623
63150,3715,98.699997,94.699997,505,6144.2998,.80000001,.40000001,1.2,105000,12360,11479,881,7.1278319,48098,6.2245584,8.72328,11.561716
63150,6365,95.099998,75.300003,435,5824.8301,4.5999999,.89999998,5.5,105000,12360,11479,881,7.1278319,48098,6.075346,8.6698847,11.561716
81010,6,63,61.099998,331,5679.8599,17.5,1.5,19,80468,10996,8941,2055,18.688614,48103,5.8021183,8.6446819,11.295615
81010,163,64.800003,61.099998,244,6433.8301,17.6,5.6999998,23.299999,80468,10996,8941,2055,18.688614,48103,5.4971681,8.7693253,11.295615
81010,2303,77.800003,72.199997,384,5626.6299,8.1000004,3.0999999,11.2,80468,10996,8941,2055,18.688614,48103,5.9506426,8.6352663,11.295615
81010,915,82.199997,71.199997,343,5225.96,17.5,3.2,20.700001,80468,10996,8941,2055,18.688614,48103,5.8377304,8.5613937,11.295615
81010,1064,88.599998,67.099998,314,5537.8701,11.8,1.9,13.7,80468,10996,8941,2055,18.688614,48103,5.749393,8.6193657,11.295615
81010,1534,82.699997,69.300003,411,4937.7998,12.2,2.9000001,15.1,80468,10996,8941,2055,18.688614,48103,6.0185933,8.5046749,11.295615
81010,2143,89,74.400002,442,4934.0098,14.3,5.1999998,19.5,80468,10996,8941,2055,18.688614,48103,6.09131,8.5039072,11.295615
81010,4562,89.199997,79.699997,375,5032.2998,7.1999998,3.5,10.7,80468,10996,8941,2055,18.688614,48103,5.9269261,8.523632,11.295615
81010,99,98,84.300003,288,5520.1899,13.2,7.3000002,20.5,89045,3907,3434,473,12.106475,48104,5.6629605,8.616168,11.396897
81010,455,88.199997,70.599998,370,5416.4302,8.6000004,1.6,10.2,89045,3907,3434,473,12.106475,48104,5.9135032,8.5971918,11.396897
81010,533,61.099998,51.900002,306,6202.0801,23.5,7.5,31,89045,3907,3434,473,12.106475,48104,5.7235851,8.7326403,11.396897
81010,1939,76.300003,56.900002,338,6441.8301,19.5,11.5,31,89045,3907,3434,473,12.106475,48104,5.8230457,8.7705679,11.396897
81010,2973,69.699997,52.5,368,5702.0801,23.1,7.0999999,30.200001,89045,3907,3434,473,12.106475,48104,5.908083,8.6485863,11.396897
81010,3060,80.900002,66,235,6206.6699,19.6,6.4000001,26,89045,3907,3434,473,12.106475,48104,5.4595857,8.7333794,11.396897
81902,8333,60,26.700001,232,8372.1602,78.900002,4.6999998,83.599998,89045,3907,3434,473,12.106475,48104,5.4467373,9.0326672,11.396897
81010,6697,85.400002,72.900002,322,5794.2002,12.7,2.2,14.9,73103,7037,5956,1081,15.361659,48105,5.7745514,8.6646128,11.199625
81010,5760,88.900002,83.099998,369,5252.1802,4.5999999,1.1,5.6999998,73103,7037,5956,1081,15.361659,48105,5.9107966,8.5663986,11.199625
81010,2766,74.5,57.400002,342,5412.25,19.9,10.2,30.1,73103,7037,5956,1081,15.361659,48105,5.8348107,8.5964203,11.199625
81010,4182,71.099998,66.300003,346,5415.9102,9.5,5.5,15,73103,7037,5956,1081,15.361659,48105,5.8464389,8.5970964,11.199625
81010,2582,70,65,245,6303.75,16.700001,7.8000002,24.5,65257,5271,3924,1347,25.554922,48108,5.5012584,8.7489004,11.086088
81040,2720,87.300003,70.400002,415,4376.73,1.2,1.2,2.4000001,77177,2932,2518,414,14.120054,48118,6.0282784,8.384057,11.253857
81040,8517,83.800003,59.299999,405,4262.3101,5.4000001,1.7,7.0999999,77177,2932,2518,414,14.120054,48118,6.0038872,8.3575668,11.253857
81040,3507,64.599998,54.200001,387,4891.3198,4.9000001,2.3,7.1999998,77177,2932,2518,414,14.120054,48118,5.9584246,8.4952173,11.253857
81050,214,71.300003,64.599998,466,4755.9702,3.2,2.0999999,5.3000002,80321,2975,2597,378,12.705882,48130,6.1441855,8.4671564,11.293786
81080,5816,82.5,75,464,4308.8799,6.9000001,2.2,9.1000004,69199,1650,1363,287,17.39394,48158,6.1398845,8.368433,11.144742
81100,2930,76.699997,50.900002,657,5435.27,11.7,5,16.700001,63938,2728,2200,528,19.354837,48160,6.4876842,8.6006641,11.065669
63240,2684,72,63.200001,490,3983.24,12.9,5.9000001,18.799999,73438,1668,1478,190,11.390887,48165,6.1944056,8.2898512,11.204197
81120,7527,78.800003,56.5,539,4763.3901,3.3,2.2,5.5,86934,5371,4748,623,11.59933,48176,6.2897158,8.4687147,11.372905
81120,8504,86.599998,69.400002,635,4879.5801,3.5999999,3,6.5999999,86934,5371,4748,623,11.59933,48176,6.4536252,8.4928141,11.372905
63240,3522,87.800003,77.5,536,3835.9299,7.0999999,4.0999999,11.2,79842,6080,5396,684,11.25,48178,6.2841344,8.2521667,11.287805
63240,3496,77.099998,61.5,700,3669.5801,5,1.3,6.3000002,79842,6080,5396,684,11.25,48178,6.5510802,8.2078323,11.287805
81070,2186,57.400002,47.099998,784,4410,18.9,6,24.9,64385,10808,7580,3228,29.866764,48197,6.6644092,8.3916302,11.072636
81020,988,55.400002,40,360,4887.21,52.200001,11.9,64.099998,64385,10808,7580,3228,29.866764,48197,5.8861041,8.4943771,11.072636
81020,1157,60.400002,39.599998,369,4427.0601,25.700001,7,32.700001,64385,10808,7580,3228,29.866764,48197,5.9107966,8.3954906,11.072636
81020,1153,40.299999,38.700001,360,5078.9702,48.599998,7.8000002,56.400002,47308,8772,5088,3684,41.997261,48198,5.8861041,8.5328636,10.764435
81020,2825,53.200001,41,408,5401.0498,57.099998,6.5999999,63.700001,47308,8772,5088,3684,41.997261,48198,6.0112672,8.5943489,10.764435
81150,5953,75.800003,51.5,343,3684.2,42.299999,10.5,52.799999,47308,8772,5088,3684,41.997261,48198,5.8377304,8.2118082,10.764435
81150,1705,61.299999,41.900002,394,3723.28,53.599998,13.5,67.099998,47308,8772,5088,3684,41.997261,48198,5.9763508,8.2223606,10.764435
81150,1638,71.400002,32.099998,230,5083.9702,69.099998,10.4,79.5,47308,8772,5088,3684,41.997261,48198,5.4380794,8.5338478,10.764435
63020,4155,88.599998,73.300003,424,4634.4199,8,6.8000002,14.8,50028,4818,3078,1740,36.114571,48220,6.0497336,8.4412661,10.820338
63020,4241,18.9,17,335,5047.8301,73.699997,11.6,85.300003,50028,4818,3078,1740,36.114571,48220,5.8141303,8.5267134,10.820338
63020,4590,50,33.299999,375,7241.4302,46.700001,14.4,61.099998,50028,4818,3078,1740,36.114571,48220,5.9269261,8.8875742,10.820338
63130,2150,85.699997,57.099998,281,5727.3799,40.200001,8.5,48.700001,50028,4818,3078,1740,36.114571,48220,5.6383548,8.6530132,10.820338
63250,1097,53.799999,46.200001,658,4064.26,31,8.1000004,39.099998,52012,7922,5521,2401,30.308002,48237,6.4892049,8.3099871,10.85923
63250,2032,46.799999,45,436,5288.0298,51.099998,8,59.099998,52012,7922,5521,2401,30.308002,48237,6.0776424,8.5732012,10.85923
63250,3006,56.099998,32.700001,528,4241.2998,31.6,8.5,40.099998,52012,7922,5521,2401,30.308002,48237,6.2690964,8.3526249,10.85923
63010,818,96,78.800003,559,6607.5498,.40000001,0,.40000001,128274,3728,3533,195,5.2306867,48301,6.3261495,8.7959681,11.761924
63010,5686,94.699997,90.800003,618,6640.96,1.3,0,1.3,128274,3728,3533,195,5.2306867,48301,6.4264884,8.801012,11.761924
63080,4830,91.400002,78.599998,405,7558.7998,.5,0,.5,138188,3535,3299,236,6.6760964,48302,6.0038872,8.9304676,11.83637
63080,5160,86.400002,73.900002,470,5905.4702,1.7,.2,1.9,138188,3535,3299,236,6.6760964,48302,6.1527328,8.6836348,11.83637
63080,5538,91.599998,80.699997,417,6300.7598,.5,0,.5,138188,3535,3299,236,6.6760964,48302,6.0330863,8.7484255,11.83637
63010,1571,98.099998,86.800003,393,6619.5298,1.3,.30000001,1.6,123516,3666,3284,382,10.420076,48304,5.9738097,8.79778,11.724126
63080,5076,94.5,87.699997,473,6012.1201,3.4000001,0,3.4000001,123516,3666,3284,382,10.420076,48304,6.1590953,8.7015324,11.724126
63260,178,94.199997,83.900002,811,3774.8799,.1,0,.1,114237,7060,6647,413,5.8498583,48306,6.6982679,8.236124,11.64603
63260,1114,98.699997,89.900002,452,4823.6499,.40000001,0,.40000001,114237,7060,6647,413,5.8498583,48306,6.1136823,8.481286,11.64603
63260,7310,97.400002,87.199997,501,4324.2998,1,1,2,114237,7060,6647,413,5.8498583,48306,6.2166061,8.3720055,11.64603
63260,7350,96.199997,88.5,457,4212.5298,0,0,0,114237,7060,6647,413,5.8498583,48306,6.1246834,8.3458185,11.64603
63260,410,96.800003,87.400002,604,4430.2402,3.0999999,3.8,6.9000001,76424,9152,7764,1388,15.166084,48307,6.403574,8.3962088,11.244052
63260,1551,94.800003,80.199997,511,4648.6201,3.7,3.9000001,7.5999999,76424,9152,7764,1388,15.166084,48307,6.2363696,8.4443254,11.244052
63260,7855,96.699997,71.699997,589,4883.3799,5.8000002,2.9000001,8.7000008,76424,9152,7764,1388,15.166084,48307,6.3784261,8.4935932,11.244052
63260,1773,94.199997,71.199997,280,4795.6899,3.5999999,3.2,6.8000002,76424,9152,7764,1388,15.166084,48307,5.6347895,8.4754725,11.244052
63260,2731,90.400002,85.5,589,4054.8401,6.5999999,3.0999999,9.6999998,76424,9152,7764,1388,15.166084,48307,6.3784261,8.3076668,11.244052
63070,7446,100,93.5,372,5512.27,3.8,1.3,5.0999999,95516,6336,5825,511,8.0650253,48309,5.9188938,8.6147318,11.467049
63260,5239,100,85.699997,413,4223.98,1.2,.5,1.7,95516,6336,5825,511,8.0650253,48309,6.0234475,8.3485327,11.467049
63260,2498,90.099998,74.099998,416,4563.4399,.2,0,.2,95516,6336,5825,511,8.0650253,48309,6.0306854,8.4258318,11.467049
63260,6270,100,77.900002,488,4746.8101,1.8,.2,2,95516,6336,5825,511,8.0650253,48309,6.1903152,8.4652281,11.467049
63160,3271,93.199997,86.300003,356,6356.23,20.799999,7.9000001,28.700001,59714,920,726,194,21.086956,48320,5.8749309,8.7571907,10.997322
63200,994,94.699997,72.900002,398,5603.8701,3.3,1.5,4.8000002,101783,7034,6529,505,7.1794143,48322,5.9864521,8.6312132,11.530599
63290,6283,75.300003,50.700001,470,5437.54,3.8,1.9,5.6999998,101783,7034,6529,505,7.1794143,48322,6.1527328,8.6010818,11.530599
63160,5783,91.300003,71,412,5900.1299,5.5999999,1,6.5999999,101783,7034,6529,505,7.1794143,48322,6.0210233,8.6827297,11.530599
63160,1401,94.400002,74.599998,496,5909.1499,4.5999999,1.8,6.4000001,101783,7034,6529,505,7.1794143,48322,6.2065759,8.6842575,11.530599
63080,5766,96,88,316,8389.2305,.89999998,.89999998,1.8,116893,4607,4184,423,9.1816797,48323,5.7557421,9.0347042,11.669014
63080,5349,92.400002,72.699997,329,7126.1201,0,0,0,116893,4607,4184,423,9.1816797,48323,5.7960577,8.8715219,11.669014
63290,7447,92.400002,71.400002,596,5220.9702,3.2,1.7,4.9000001,116893,4607,4184,423,9.1816797,48323,6.3902407,8.5604382,11.669014
63290,4235,76.699997,67.400002,349,6627.02,2.3,2,4.3000002,116893,4607,4184,423,9.1816797,48323,5.855072,8.7989101,11.669014
63160,1491,84.699997,76.5,477,5692,3.4000001,1.3,4.6999998,116893,4607,4184,423,9.1816797,48323,6.1675167,8.6468172,11.669014
63290,2001,95.400002,87.199997,651,4876.3901,.80000001,1.1,1.9,96568,5077,4650,427,8.4104786,48324,6.4785094,8.4921608,11.478003
63070,148,90.900002,60,374,5245.7598,11.8,2.7,14.5,61227,3677,2855,822,22.355181,48326,5.9242558,8.5651751,11.022344
63070,5363,94,86.199997,354,5431.5601,9.6000004,7.0999999,16.700001,61227,3677,2855,822,22.355181,48326,5.869297,8.5999813,11.022344
63030,4532,57.5,62.5,320,6315.6802,44.700001,6.5999999,51.299999,61227,3677,2855,822,22.355181,48326,5.768321,8.7507906,11.022344
63300,897,93,69.699997,306,4595.3701,16.700001,7.1999998,23.9,64886,4577,3645,932,20.362682,48327,5.7235851,8.4328041,11.080387
63300,2138,90.900002,83.599998,355,4669.7598,5.9000001,3.4000001,9.3000002,64886,4577,3645,932,20.362682,48327,5.872118,8.448863,11.080387
63300,4535,76.5,63,414,4536,19.299999,7.1999998,26.5,64886,4577,3645,932,20.362682,48327,6.025866,8.4198008,11.080387
63300,522,67.300003,46.200001,310,4405.6299,29.700001,5.5,35.200001,57274,5412,4035,1377,25.443459,48328,5.7365723,8.3906384,10.955602
63300,933,64.900002,49.099998,385,4620.9502,35.099998,3.4000001,38.5,57274,5412,4035,1377,25.443459,48328,5.9532433,8.4383554,10.955602
63300,1106,56.299999,52.099998,327,4382.6802,27.799999,13.1,40.900002,57274,5412,4035,1377,25.443459,48328,5.7899604,8.385416,10.955602
63300,1484,80.599998,65.300003,394,4412.77,17.799999,5.3000002,23.1,70044,5887,5167,720,12.230338,48329,5.9763508,8.3922577,11.156878
63300,1891,91.5,88.699997,345,4531.6201,2.5999999,2,4.5999999,70044,5887,5167,720,12.230338,48329,5.8435445,8.4188347,11.156878
63300,3418,92.800003,79.5,417,4503.3599,11.8,4.5999999,16.4,70044,5887,5167,720,12.230338,48329,6.0330863,8.4125786,11.156878
63300,4169,71.599998,71.599998,468,4434.9902,9.3999996,7.0999999,16.5,70044,5887,5167,720,12.230338,48329,6.1484685,8.3972807,11.156878
63200,5100,91.099998,80,308,6799.2202,1.6,1.3,2.9000001,109185,5935,5400,535,9.0143223,48331,5.7300997,8.824563,11.600799
63200,4579,97.900002,72.300003,282,6749.77,1.8,.40000001,2.2,109185,5935,5400,535,9.0143223,48331,5.6419072,8.8172636,11.600799
63200,255,81.800003,74.199997,400,5328.2798,6.8000002,3,9.8000002,81223,3763,3193,570,15.14749,48334,5.9914646,8.5807838,11.304954
63200,7251,100,96.199997,306,6257.0698,.69999999,.30000001,1,81223,3763,3193,570,15.14749,48334,5.7235851,8.7414675,11.304954
63200,2012,86.400002,74.599998,374,6781.4502,4.8000002,1.1,5.9000001,81223,3763,3193,570,15.14749,48334,5.9242558,8.8219461,11.304954
63200,5865,68.800003,59.700001,419,6243.73,8.6000004,2.4000001,11,81223,3763,3193,570,15.14749,48334,6.0378709,8.7393332,11.304954
63200,1404,88,65.300003,542,6311.0098,4.4000001,.89999998,5.3000002,78289,4124,3675,449,10.887488,48335,6.2952662,8.7500505,11.268163
63200,7444,89.400002,78.699997,572,6090.3101,3,1.6,4.5999999,78289,4124,3675,449,10.887488,48335,6.3491392,8.7144547,11.268163
63200,2252,85.099998,61.200001,388,5720.3599,3.0999999,.30000001,3.4000001,78289,4124,3675,449,10.887488,48335,5.9610052,8.6517868,11.268163
63200,2132,89.599998,65.400002,464,5816.6099,7.0999999,3.7,10.8,72073,5759,4711,1048,18.197603,48336,6.1398845,8.6684732,11.185434
63200,4537,60.5,51.200001,257,6184.2202,16.700001,3.9000001,20.6,72073,5759,4711,1048,18.197603,48336,5.5490761,8.7297564,11.185434
63030,45,36.700001,25.4,369,7147.6802,55.299999,8.3999996,63.700001,36615,6377,3229,3148,49.364906,48340,5.9107966,8.8745432,10.508213
63030,1139,39,27.1,303,6096.1899,74.300003,7.3000002,81.600014,36615,6377,3229,3148,49.364906,48340,5.7137327,8.7154188,10.508213
63030,2144,72.5,58.5,433,5499.4399,46.700001,5.0999999,51.799999,36615,6377,3229,3148,49.364906,48340,6.0707378,8.612402,10.508213
63030,2922,41.799999,25.4,365,7768.2402,53.700001,6.3000002,60,36615,6377,3229,3148,49.364906,48340,5.8998976,8.957799,10.508213
63030,834,46.5,34.900002,310,6507.4302,65.800003,4.1999998,70,39255,4246,2008,2238,52.708427,48341,5.7365723,8.7806997,10.577834
63030,275,44.400002,22.200001,266,7658.1299,71.400002,7.0999999,78.5,39255,4246,2008,2238,52.708427,48341,5.5834961,8.9435234,10.577834
63030,4423,48.099998,44.200001,384,5426.0601,57.599998,5.1999998,62.799999,39255,4246,2008,2238,52.708427,48341,5.9506426,8.5989685,10.577834
63030,1652,81,57.099998,357,6833.3599,60.5,6.6999998,67.199997,31935,5745,2497,3248,56.536121,48342,5.8777356,8.8295717,10.371458
63030,2260,100,82.900002,314,6144.6201,69.400002,4.8000002,74.199997,31935,5745,2497,3248,56.536121,48342,5.749393,8.7233324,10.371458
63030,2384,33.299999,15.4,324,7760.8101,65.400002,8.3000002,73.699997,31935,5745,2497,3248,56.536121,48342,5.7807436,8.9568424,10.371458
63030,5752,54.5,55.599998,419,4786.3198,64.699997,7.9000001,72.599998,31935,5745,2497,3248,56.536121,48342,6.0378709,8.4735174,10.371458
63190,704,96.099998,74.699997,351,5634.9199,3.7,3.0999999,6.8000002,76856,5603,4604,999,17.829735,48346,5.8607864,8.6367378,11.249689
63190,5624,81.099998,60.799999,377,6258.9399,11.4,8.1999998,19.6,76856,5603,4604,999,17.829735,48346,5.9322453,8.741766,11.249689
63190,3054,89.900002,65.199997,379,5943.6802,9.8000002,4.6999998,14.5,76856,5603,4604,999,17.829735,48346,5.9375362,8.6900835,11.249689
63190,170,91.800003,72.400002,432,5992.9902,1.6,2.3,3.9000001,89651,5950,5222,728,12.235294,48348,6.0684257,8.6983461,11.40368
63190,8056,92.599998,75.300003,440,5440.0601,3.5999999,.69999999,4.3000002,89651,5950,5222,728,12.235294,48348,6.0867748,8.6015453,11.40368
63190,95,88.900002,79.400002,342,5890.6802,6.0999999,2.9000001,9,71602,1902,1638,264,13.880126,48350,5.8348107,8.6811266,11.178878
63210,877,84.599998,61.5,500,4219.2202,17.6,6,23.6,71602,1902,1638,264,13.880126,48350,6.2146082,8.3474054,11.178878
63220,6490,82.800003,64.099998,446,4166.48,7.1999998,3.8,11,73938,2331,2019,312,13.384813,48356,6.1003189,8.3348265,11.210982
63220,5309,67.900002,47,511,4071.7,15.1,10.6,25.700001,65684,2543,1959,584,22.965002,48357,6.2363696,8.3118162,11.09261
63220,8608,76.099998,66.199997,444,4397.0898,4.3000002,4.5,8.8000002,65684,2543,1959,584,22.965002,48357,6.0958247,8.3886986,11.09261
63220,5787,82.400002,64.599998,409,4489.9502,12.7,8.3000002,21,65684,2543,1959,584,22.965002,48357,6.0137153,8.4095964,11.09261
63230,8443,100,92.5,490,4374.7002,3.7,2.7,6.4000001,70385,1913,1591,322,16.832201,48359,6.1944056,8.3835936,11.161736
63230,6281,89.599998,84.599998,503,4981.5,5.5999999,2.2,7.8000002,90982,3464,3220,244,7.0438805,48360,6.2205901,8.5134859,11.418417
63230,347,85.699997,68.800003,474,4388.5498,8,2.3,10.3,79958,3464,2947,517,14.924942,48362,6.1612072,8.386754,11.289257
63230,6280,98.800003,90.400002,573,4506.4102,7.1999998,1.4,8.5999994,79958,3464,2947,517,14.924942,48362,6.3508859,8.4132557,11.289257
63230,4414,98.900002,83.199997,570,3954.79,.69999999,1.9,2.5999999,79958,3464,2947,517,14.924942,48362,6.3456364,8.2826824,11.289257
63110,2160,53.799999,26.9,165,4612.2202,6.0999999,2.4000001,8.5,71932,1346,1143,203,15.081723,48367,5.1059456,8.4364643,11.183476
63110,713,95.300003,80,535,4371.8398,3.2,.60000002,3.8,75635,5021,4336,685,13.6427,48371,6.2822666,8.3829393,11.233674
63110,8629,77.5,59.200001,492,4304.29,9.6000004,4.5,14.1,75635,5021,4336,685,13.6427,48371,6.1984787,8.3673677,11.233674
63110,7997,93.5,62.299999,237,4464.6201,5.0999999,2.0999999,7.1999998,75635,5021,4336,685,13.6427,48371,5.46806,8.4039392,11.233674
63100,2788,92.5,85,413,6497.4502,.5,.5,1,118204,4616,4287,329,7.1273832,48374,6.0234475,8.7791653,11.680167
63100,7349,97.599998,78.900002,578,6224.4199,1.6,1.9,3.5,118204,4616,4287,329,7.1273832,48374,6.3595738,8.7362356,11.680167
63100,2843,95,89,478,6580.6602,1,.80000001,1.8,91318,5437,5099,338,6.2166634,48375,6.1696105,8.7918901,11.422103
63100,6173,96.599998,93.099998,373,8171.9302,1.3,1.1,2.4000001,91318,5437,5099,338,6.2166634,48375,5.9215784,9.00846,11.422103
63290,7544,85.699997,59,500,5712.5801,11.4,3.4000001,14.8,60611,1937,1458,479,24.728962,48377,6.2146082,8.6504259,11.012232
63220,175,75.599998,53.700001,288,3920.48,17.700001,5.9000001,23.6,75047,3271,2598,673,20.574749,48381,5.6629605,8.2739697,11.22587
63220,1965,79.300003,66.699997,465,3867.95,10.8,2.5999999,13.4,75047,3271,2598,673,20.574749,48381,6.1420374,8.2604799,11.22587
